,State,Unique EV Makes,Unique EV Models,EV Types Count,Avg Electric Range,Latest Model Year,ZIP Codes Covered,Total Level 1 Chargers,Total Level 2 Chargers,Total DC Fast Chargers
0,AE,1.0,1.0,1.0,249.0,2018.0,0.0,0.0,0.0,0.0
1,AK,1.0,1.0,1.0,0.0,2021.0,22.0,3.0,76.0,18.0
2,AL,4.0,5.0,2.0,43.166666666666664,2023.0,119.0,35.0,579.0,195.0
3,AP,1.0,1.0,1.0,75.0,2013.0,0.0,0.0,0.0,0.0
4,AR,2.0,2.0,1.0,236.0,2020.0,67.0,3.0,473.0,79.0
5,AZ,6.0,9.0,2.0,34.5,2023.0,182.0,10.0,1955.0,506.0
6,BC,1.0,3.0,1.0,213.33333333333334,2019.0,0.0,0.0,0.0,0.0
7,CA,17.0,27.0,2.0,50.257425742574256,2023.0,1206.0,557.0,35130.0,7712.0
8,CO,7.0,11.0,2.0,78.08333333333333,2023.0,255.0,90.0,3550.0,677.0
9,CT,5.0,5.0,2.0,75.66666666666667,2022.0,151.0,67.0,1082.0,334.0
10,DC,2.0,3.0,1.0,122.0,2023.0,41.0,43.0,834.0,41.0
11,DE,1.0,1.0,1.0,0.0,2022.0,28.0,5.0,208.0,97.0
12,FL,5.0,7.0,2.0,104.0,2023.0,554.0,366.0,5750.0,1492.0
13,GA,5.0,6.0,2.0,73.0,2022.0,266.0,230.0,3194.0,689.0
14,HI,5.0,7.0,2.0,109.33333333333333,2023.0,48.0,30.0,767.0,83.0
15,IA,1.0,1.0,1.0,249.0,2018.0,119.0,5.0,418.0,230.0
16,ID,2.0,2.0,1.0,0.0,2023.0,54.0,10.0,274.0,85.0
17,IL,7.0,10.0,2.0,61.06666666666667,2024.0,297.0,51.0,2237.0,628.0
18,IN,3.0,3.0,2.0,88.0,2021.0,144.0,8.0,706.0,328.0
19,KS,2.0,2.0,2.0,7.0,2021.0,90.0,14.0,898.0,124.0
20,KY,3.0,3.0,2.0,11.0,2021.0,105.0,24.0,473.0,107.0
21,LA,2.0,4.0,2.0,131.25,2022.0,77.0,22.0,300.0,111.0
22,MA,2.0,3.0,2.0,10.6,2023.0,327.0,69.0,4778.0,527.0
23,MD,13.0,20.0,2.0,56.193548387096776,2023.0,259.0,47.0,3100.0,696.0
24,MI,1.0,2.0,1.0,24.0,2023.0,332.0,15.0,2086.0,472.0
25,MN,2.0,2.0,2.0,117.0,2019.0,194.0,75.0,1119.0,237.0
26,MO,1.0,2.0,1.0,165.6,2023.0,185.0,14.0,1941.0,269.0
27,NC,7.0,9.0,2.0,25.0625,2024.0,309.0,43.0,2369.0,621.0
28,NE,2.0,2.0,2.0,16.5,2021.0,81.0,1.0,335.0,108.0
29,NH,1.0,1.0,1.0,308.0,2020.0,66.0,5.0,291.0,133.0
30,NJ,6.0,7.0,2.0,15.375,2024.0,257.0,16.0,1710.0,671.0
31,NM,1.0,1.0,1.0,25.0,2023.0,61.0,10.0,363.0,145.0
32,NV,3.0,6.0,2.0,89.125,2023.0,99.0,15.0,1196.0,376.0
33,NY,4.0,6.0,2.0,68.0,2023.0,706.0,42.0,8034.0,1035.0
34,OH,4.0,4.0,2.0,9.75,2024.0,320.0,40.0,2107.0,435.0
35,OK,1.0,1.0,1.0,0.0,2023.0,137.0,11.0,450.0,633.0
36,OR,3.0,5.0,2.0,76.8,2022.0,202.0,76.0,1929.0,471.0
37,PA,2.0,2.0,2.0,10.25,2024.0,388.0,51.0,2462.0,621.0
38,RI,2.0,2.0,2.0,53.0,2018.0,49.0,82.0,603.0,58.0
39,SC,5.0,6.0,2.0,17.428571428571427,2023.0,122.0,18.0,730.0,256.0
40,TN,1.0,1.0,1.0,0.0,2021.0,157.0,33.0,1372.0,240.0
41,TX,7.0,11.0,2.0,130.43478260869566,2023.0,568.0,110.0,4784.0,1184.0
42,UT,3.0,3.0,2.0,158.0,2019.0,117.0,17.0,1613.0,247.0
43,VA,14.0,24.0,2.0,72.54347826086956,2024.0,275.0,238.0,2506.0,868.0
44,WA,40.0,139.0,2.0,58.82563374409079,2024.0,298.0,212.0,3543.0,802.0
45,WY,2.0,2.0,1.0,0.0,2023.0,30.0,6.0,106.0,85.0
46,ME,0.0,0.0,0.0,0.0,0.0,125.0,25.0,648.0,157.0
47,MS,0.0,0.0,0.0,0.0,0.0,44.0,139.0,224.0,85.0
48,MT,0.0,0.0,0.0,0.0,0.0,49.0,3.0,138.0,110.0
49,MX,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
50,ND,0.0,0.0,0.0,0.0,0.0,30.0,0.0,106.0,59.0
51,PR,0.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,0.0
52,QC,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
53,SD,0.0,0.0,0.0,0.0,0.0,25.0,2.0,95.0,71.0
54,VT,0.0,0.0,0.0,0.0,0.0,92.0,36.0,735.0,99.0
55,WI,0.0,0.0,0.0,0.0,0.0,170.0,6.0,784.0,237.0
56,WV,0.0,0.0,0.0,0.0,0.0,62.0,19.0,227.0,87.0
